Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,134217744,33554456,0,89256,51,4.66154e+06,2159.06,0
bitvector,rank,rank_support_v5,134217744,8388632,0,79848,205,3.24101e+08,18002.8,0
bitvector,select,select_support_v,134217744,447176,0,9523921,27,13013.8,114.078,0
rrr_bitvector,rank,rrr_rank_support,16872939,0,342281,0,80,749625,865.809,0
rrr_bitvector,select,rrr_select_support,16872939,0,423444,0,142,173567,416.614,100
sd_bitvector,rank,sd_rank_support,18487131,0,747502,0,35,1.22148e+06,1105.21,0
sd_bitvector,select,sd_select_support,18487131,0,818442,0,47,72431.4,269.131,0
