Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,134217744,33554456,0,89004,38,625183,790.685,0
bitvector,rank,rank_support_v5,134217744,8388632,0,84043,26,2724.19,52.1938,0
bitvector,select,select_support_v,134217744,46318,0,9735412,219,1.80307e+07,4246.26,0
rrr_bitvector,rank,rrr_rank_support,16168043,0,312363,0,94,26725.4,163.479,0
rrr_bitvector,select,rrr_select_support,16168043,0,303023,0,237,3.64772e+06,1909.9,100
sd_bitvector,rank,sd_rank_support,1473713,0,216849,0,56,6.12093e+06,2474.05,0
sd_bitvector,select,sd_select_support,1473713,0,212370,0,38,134685,366.994,0
