Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,268435472,67108888,0,185934,70,1.54875e+07,3935.42,0
bitvector,rank,rank_support_v5,268435472,16777240,0,204072,28,2040.88,45.1761,0
bitvector,select,select_support_v,268435472,879991,0,20298895,46,5070.75,71.2092,0
rrr_bitvector,rank,rrr_rank_support,34010931,0,845022,0,102,70470.2,265.462,0
rrr_bitvector,select,rrr_select_support,34010931,0,839925,0,193,1.99432e+06,1412.2,100
sd_bitvector,rank,sd_rank_support,36998466,0,1476210,0,24,92739,304.531,0
sd_bitvector,select,sd_select_support,36998466,0,1421251,0,26,2484.65,49.8462,0
