Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108880,16777240,0,49631,23,244869,494.842,0
bitvector,rank,rank_support_v5,67108880,4194328,0,48620,26,30307.8,174.091,0
bitvector,select,select_support_v,67108880,81386,0,4714562,119,101520,318.622,0
rrr_bitvector,rank,rrr_rank_support,8718947,0,220200,0,76,11493,107.205,0
rrr_bitvector,select,rrr_select_support,8718947,0,239876,0,213,561159,749.106,100
sd_bitvector,rank,sd_rank_support,3074213,0,249283,0,89,435277,659.755,0
sd_bitvector,select,sd_select_support,3074213,0,229568,0,55,78455.9,280.1,0
