Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,134217744,33554456,0,96732,49,7.45993e+06,2731.29,0
bitvector,rank,rank_support_v5,134217744,8388632,0,79921,35,275101,524.5,0
bitvector,select,select_support_v,134217744,73587,0,9671385,95,3.01383e+06,1736.04,0
rrr_bitvector,rank,rrr_rank_support,16673107,0,310231,0,160,3.41946e+06,1849.18,0
rrr_bitvector,select,rrr_select_support,16673107,0,346034,0,212,1.02768e+06,1013.75,100
sd_bitvector,rank,sd_rank_support,2728366,0,249737,0,18,29971.2,173.122,0
sd_bitvector,select,sd_select_support,2728366,0,323328,0,47,13817.2,117.547,0
