Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,16777232,4194328,0,7775,24,390041,624.533,0
bitvector,rank,rank_support_v5,16777232,1048600,0,9336,11,13699.2,117.044,0
bitvector,select,select_support_v,16777232,45170,0,1044156,37,18089.6,134.498,0
rrr_bitvector,rank,rrr_rank_support,2203179,0,48135,0,44,50657.7,225.073,0
rrr_bitvector,select,rrr_select_support,2203179,0,53552,0,124,2.59521e+06,1610.97,0
sd_bitvector,rank,sd_rank_support,1453189,0,94020,0,23,3754.08,61.2705,0
sd_bitvector,select,sd_select_support,1453189,0,85226,0,42,128390,358.316,0
