Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108880,16777240,36801,20,106333,326.087,0
bitvector,rank,rank_support_v5,67108880,4194328,36918,18,1577.76,39.721,0
bitvector,select,select_support_v,67108880,30592,5090203,90,19848.8,140.886,0
rrr_bitvector,rank,rrr_rank_support,8017227,0,0,131,2.18556e+06,1478.36,0
rrr_bitvector,select,rrr_select_support,8017227,0,0,226,429075,655.038,200
sd_bitvector,rank,sd_rank_support,740979,0,0,30,65753.4,256.424,0
sd_bitvector,select,sd_select_support,740979,0,0,41,452765,672.878,0
