Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,1048592,262168,0,555,11,11159.7,105.64,0
bitvector,rank,rank_support_v5,1048592,65560,0,485,12,1802.34,42.454,0
bitvector,select,select_support_v,1048592,12483,0,64115,28,3304.33,57.4833,0
rrr_bitvector,rank,rrr_rank_support,119659,0,2323,0,21,13279.2,115.235,0
rrr_bitvector,select,rrr_select_support,119659,0,2116,0,143,276762,526.082,100
sd_bitvector,rank,sd_rank_support,11472,0,2404,0,20,2248.82,47.4218,0
sd_bitvector,select,sd_select_support,11472,0,1709,0,26,176668,420.319,0
