Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,16777232,4194328,0,11020,22,28186,167.887,0
bitvector,rank,rank_support_v5,16777232,1048600,0,12125,15,21086.8,145.213,0
bitvector,select,select_support_v,16777232,68030,0,1287556,72,1.21891e+07,3491.29,0
rrr_bitvector,rank,rrr_rank_support,2059187,0,41170,0,49,85982.4,293.228,0
rrr_bitvector,select,rrr_select_support,2059187,0,43292,0,123,55246.6,235.046,100
sd_bitvector,rank,sd_rank_support,2314729,0,74357,0,25,584846,764.753,0
sd_bitvector,select,sd_select_support,2314729,0,69250,0,43,107791,328.316,0
