Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,16777224,4194328,12625,16,7293.18,85.4001,0
bitvector,rank,rank_support_v5,16777224,1048600,7222,21,26613.8,163.137,0
bitvector,select,select_support_v,16777224,17587,1014179,55,16022.3,126.579,0
rrr_bitvector,rank,rrr_rank_support,1971299,0,0,38,10692.9,103.407,0
rrr_bitvector,select,rrr_select_support,1971299,0,0,156,215152,463.845,100
sd_bitvector,rank,sd_rank_support,198774,0,0,44,402984,634.81,0
sd_bitvector,select,sd_select_support,198774,0,0,43,39747.4,199.368,0
