Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,134217744,33554456,0,96368,22,3038.38,55.1215,0
bitvector,rank,rank_support_v5,134217744,8388632,0,87953,37,457747,676.57,0
bitvector,select,select_support_v,134217744,131985,0,1706571,101,1.35899e+06,1165.76,0
rrr_bitvector,rank,rrr_rank_support,17504315,0,475190,0,98,22430.3,149.768,0
rrr_bitvector,select,rrr_select_support,17504315,0,446506,0,246,948537,973.929,100
sd_bitvector,rank,sd_rank_support,6092652,0,375654,0,20,2101.21,45.839,0
sd_bitvector,select,sd_select_support,6092652,0,372884,0,34,107221,327.447,0
