Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,1048592,262168,0,510,42,3.97972e+06,1994.92,0
bitvector,rank,rank_support_v5,1048592,65560,0,1070,18,1531.83,39.1386,0
bitvector,select,select_support_v,1048592,14242,0,67195,33,22009.4,148.356,0
rrr_bitvector,rank,rrr_rank_support,133611,0,4143,0,22,2071.17,45.5101,0
rrr_bitvector,select,rrr_select_support,133611,0,2469,0,82,10590.2,102.909,0
sd_bitvector,rank,sd_rank_support,96893,0,4014,0,25,42647.3,206.512,0
sd_bitvector,select,sd_select_support,96893,0,3740,0,62,3.78921e+06,1946.59,0
