Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,16777232,4194328,0,10810,60,8.02819e+06,2833.41,0
bitvector,rank,rank_support_v5,16777232,1048600,0,9489,24,4366.32,66.0781,0
bitvector,select,select_support_v,16777232,30754,0,1122442,71,2.62182e+06,1619.2,0
rrr_bitvector,rank,rrr_rank_support,2146707,0,43569,0,51,6310.43,79.4382,0
rrr_bitvector,select,rrr_select_support,2146707,0,46789,0,178,2.53739e+06,1592.92,100
sd_bitvector,rank,sd_rank_support,797437,0,46822,0,23,2099.49,45.8202,0
sd_bitvector,select,sd_select_support,797437,0,42352,0,22,2019,44.9333,0
