Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108880,16777240,40970,44,4.95617e+06,2226.25,0
bitvector,rank,rank_support_v5,67108880,4194328,36675,15,18590.3,136.346,0
bitvector,select,select_support_v,67108880,194801,5069616,59,29436,171.569,0
rrr_bitvector,rank,rrr_rank_support,8752603,0,0,69,26905.2,164.028,0
rrr_bitvector,select,rrr_select_support,8752603,0,0,181,232813,482.507,100
sd_bitvector,rank,sd_rank_support,7944060,0,0,16,2112.13,45.9579,0
sd_bitvector,select,sd_select_support,7944060,0,0,45,330076,574.522,0
