Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,134217744,33554456,0,123026,53,1.38667e+06,1177.57,0
bitvector,rank,rank_support_v5,134217744,8388632,0,208217,25,69329.9,263.306,0
bitvector,select,select_support_v,134217744,375346,0,10004475,34,20612.9,143.572,0
rrr_bitvector,rank,rrr_rank_support,17637379,0,325384,0,60,30017.4,173.255,0
rrr_bitvector,select,rrr_select_support,17637379,0,334070,0,139,1.42121e+06,1192.14,100
sd_bitvector,rank,sd_rank_support,15896261,0,580329,0,31,89742,299.57,0
sd_bitvector,select,sd_select_support,15896261,0,770565,0,31,3336.07,57.7588,0
