Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,536870928,134217752,0,381308,30,549489,741.275,0
bitvector,rank,rank_support_v5,536870928,33554456,0,322996,32,2.07462e+06,1440.35,0
bitvector,select,select_support_v,536870928,1745795,0,39496605,30,2464.25,49.6412,0
rrr_bitvector,rank,rrr_rank_support,68556307,0,1725457,0,131,7.82198e+06,2796.78,0
rrr_bitvector,select,rrr_select_support,68556307,0,1697915,0,205,1.43558e+07,3788.91,100
sd_bitvector,rank,sd_rank_support,72429686,0,2870840,0,74,22449.4,149.831,0
sd_bitvector,select,sd_select_support,72429686,0,2269011,0,34,76774.6,277.082,0
