Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,536870920,134217752,315949,22,10545.3,102.69,0
bitvector,rank,rank_support_v5,536870920,33554456,294017,25,37206.5,192.89,0
bitvector,select,select_support_v,536870920,1457202,34477247,32,23019.8,151.723,0
rrr_bitvector,rank,rrr_rank_support,71614419,0,0,61,80459.2,283.653,0
rrr_bitvector,select,rrr_select_support,71614419,0,0,159,91808.4,302.999,100
sd_bitvector,rank,sd_rank_support,62080693,0,0,41,20165.9,142.007,0
sd_bitvector,select,sd_select_support,62080693,0,0,62,20607.6,143.553,0
