Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create base structure (µs),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,536870928,134217752,0,380103,19,2561.52,50.6114,0
bitvector,rank,rank_support_v5,536870928,33554456,0,354082,18,2134.61,46.2019,0
bitvector,select,select_support_v,536870928,248312,0,40032508,59,280294,529.428,0
rrr_bitvector,rank,rrr_rank_support,67757155,0,1606376,0,253,2.39271e+07,4891.53,100
rrr_bitvector,select,rrr_select_support,67757155,0,1739184,0,301,7.48287e+06,2735.48,200
sd_bitvector,rank,sd_rank_support,10896339,0,1339955,0,31,27107.2,164.643,0
sd_bitvector,select,sd_select_support,10896339,0,1241104,0,48,35096.1,187.34,0
