Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108880,16777240,39890,37,689730,830.5,0
bitvector,rank,rank_support_v5,67108880,4194328,37375,42,3.46186e+06,1860.61,0
bitvector,select,select_support_v,67108880,230684,5087632,46,211300,459.674,0
rrr_bitvector,rank,rrr_rank_support,8370195,0,0,77,3.02222e+06,1738.45,0
rrr_bitvector,select,rrr_select_support,8370195,0,0,121,40013.6,200.034,100
sd_bitvector,rank,sd_rank_support,9240511,0,0,17,2171.24,46.5965,0
sd_bitvector,select,sd_select_support,9240511,0,0,42,348737,590.54,0
