Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,1048592,262168,1162,26,1981.88,44.5183,0
bitvector,rank,rank_support_v5,1048592,65560,1024,29,3683.37,60.6908,0
bitvector,select,select_support_v,1048592,13362,80119,43,362742,602.281,0
rrr_bitvector,rank,rrr_rank_support,130115,0,0,34,22837.2,151.12,0
rrr_bitvector,select,rrr_select_support,130115,0,0,144,141255,375.839,100
sd_bitvector,rank,sd_rank_support,48141,0,0,29,4796.12,69.254,0
sd_bitvector,select,sd_select_support,48141,0,0,30,2261.83,47.5587,0
