Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,536870928,134217752,325588,41,2.28697e+06,1512.27,0
bitvector,rank,rank_support_v5,536870928,33554456,329672,36,1.34425e+06,1159.42,0
bitvector,select,select_support_v,536870928,1010418,40649920,51,6183.54,78.6355,0
rrr_bitvector,rank,rrr_rank_support,73163659,0,0,66,9082.43,95.3018,0
rrr_bitvector,select,rrr_select_support,73163659,0,0,215,2.26442e+06,1504.8,100
sd_bitvector,rank,sd_rank_support,44827381,0,0,71,8734.29,93.4574,0
sd_bitvector,select,sd_select_support,44827381,0,0,36,87041,295.027,0
