Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,536870912,536870912,2992480,39,43613.7,208.839,0
int64_t*,rank,Rank9Sel,536870912,536870912,2984669,68,13113.2,114.513,100
