Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,67108864,67108864,442514,25,2551.76,50.5149,0
int64_t*,rank,Rank9Sel,67108864,67108864,446141,123,5.82927e+06,2414.39,100
