Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,134217728,134217728,1666936,121,421312,649.086,100
int64_t*,rank,Rank9Sel,134217728,134217728,1633394,273,2.41019e+06,1552.48,200
