Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,268435456,268435456,1368544,28,73807.7,271.676,0
int64_t*,rank,Rank9Sel,268435456,268435456,1393594,244,2.66108e+06,1631.28,100
