Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,1048576,1048576,5390,21,1739.31,41.7051,0
int64_t*,rank,Rank9Sel,1048576,1048576,6586,67,10787,103.86,0
