Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,134217728,134217728,688785,26,2581.54,50.8088,0
int64_t*,rank,Rank9Sel,134217728,134217728,703749,280,6.32649e+06,2515.25,100
