Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
int64_t*,rank,Rank9Sel,1048576,1048576,6201,24,1965.16,44.3301,0
int64_t*,rank,Rank9Sel,1048576,1048576,7084,59,20618.7,143.592,0
