Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108872,16777240,27881,19,9948.61,99.7427,0
bitvector,rank,rank_support_v5,67108872,4194328,29376,18,7345.93,85.7084,0
bitvector,select,select_support_v,67108872,72515,3826996,58,21458.6,146.488,0
rrr_bitvector,rank,rrr_rank_support,8783811,0,0,70,15207.9,123.32,0
rrr_bitvector,select,rrr_select_support,8783811,0,0,225,661656,813.422,100
sd_bitvector,rank,sd_rank_support,2477894,0,0,40,12431.6,111.497,0
sd_bitvector,select,sd_select_support,2477894,0,0,50,86396.6,293.933,0
