Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,536870920,134217752,267274,16,6624.17,81.389,0
bitvector,rank,rank_support_v5,536870920,33554456,241207,17,6840.86,82.7095,0
bitvector,select,select_support_v,536870920,1745283,37636194,44,1.07457e+06,1036.62,0
rrr_bitvector,rank,rrr_rank_support,68556307,0,0,46,63554.8,252.101,0
rrr_bitvector,select,rrr_select_support,68556307,0,0,153,48994,221.346,100
sd_bitvector,rank,sd_rank_support,72429686,0,0,42,73351.3,270.834,0
sd_bitvector,select,sd_select_support,72429686,0,0,47,28312.9,168.264,0
