Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,67108872,16777240,29293,17,13920.3,117.984,0
bitvector,rank,rank_support_v5,67108872,4194328,26813,15,5639.64,75.0976,0
bitvector,select,select_support_v,67108872,230172,3895639,41,147931,384.618,0
rrr_bitvector,rank,rrr_rank_support,8370195,0,0,45,76540.7,276.66,0
rrr_bitvector,select,rrr_select_support,8370195,0,0,143,6.17028e+06,2484,100
sd_bitvector,rank,sd_rank_support,9240511,0,0,39,13263.1,115.166,0
sd_bitvector,select,sd_select_support,9240511,0,0,78,912341,955.166,0
