Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,16777224,4194328,8008,18,6705.62,81.8879,0
bitvector,rank,rank_support_v5,16777224,1048600,6231,17,41352.8,203.354,0
bitvector,select,select_support_v,16777224,67518,1008594,35,27735.3,166.539,0
rrr_bitvector,rank,rrr_rank_support,2059187,0,0,42,43119,207.651,0
rrr_bitvector,select,rrr_select_support,2059187,0,0,121,195481,442.132,100
sd_bitvector,rank,sd_rank_support,2314729,0,0,43,13274.5,115.215,0
sd_bitvector,select,sd_select_support,2314729,0,0,56,14913.2,122.12,0
