Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,268435464,67108888,124119,16,7120.26,84.3816,0
bitvector,rank,rank_support_v5,268435464,16777240,121074,17,7760.68,88.0947,0
bitvector,select,select_support_v,268435464,280017,16231340,49,23079.5,151.919,0
rrr_bitvector,rank,rrr_rank_support,35274547,0,0,46,24397.9,156.198,0
rrr_bitvector,select,rrr_select_support,35274547,0,0,190,1.5028e+06,1225.89,100
sd_bitvector,rank,sd_rank_support,12202404,0,0,90,6.17943e+06,2485.85,0
sd_bitvector,select,sd_select_support,12202404,0,0,54,16625.3,128.939,0
