Base structure,Operation,Support Structure,Size of base (bytes),Size of structure (bytes),Time to create (µs),média (ns),variância amostral,desvio padrão amostral, mediana (ns)
bitvector,rank,rank_support_v,268435464,67108888,127605,23,115991,340.574,0
bitvector,rank,rank_support_v5,268435464,16777240,114436,17,40172.3,200.43,0
bitvector,select,select_support_v,268435464,735409,16761358,44,831072,911.631,0
rrr_bitvector,rank,rrr_rank_support,35541699,0,0,54,895954,946.548,0
rrr_bitvector,select,rrr_select_support,35541699,0,0,148,5.09805e+06,2257.89,100
sd_bitvector,rank,sd_rank_support,31041612,0,0,66,25229.3,158.837,0
sd_bitvector,select,sd_select_support,31041612,0,0,46,143298,378.548,0
